# Pure pigments absorption data
Wavelength (nm);TRIO;Pheo-a;Pheo-b;b-CAR;LUT;NEX;Chl-a;Chl-b
Molecular weight ;885.500;871.200;885.200;536.900;568.900;600.880;893.509;907.492
720;0.0000E+00;5.4600E-13;-3.4900E-13;0.0000E+00;0.0000E+00;0.0000E+00;0.0000E+00;0.0000E+00
719;5.8200E-05;3.8558E+00;-7.1541E+00;0.0000E+00;0.0000E+00;0.0000E+00;-1.3842E+01;9.6404E-01
718;8.7300E-05;1.2531E+01;-1.2520E+01;0.0000E+00;0.0000E+00;0.0000E+00;0.0000E+00;-5.7842E+00
717;7.7600E-05;2.7955E+01;-1.0731E+01;0.0000E+00;0.0000E+00;0.0000E+00;8.6510E+00;3.8562E+00
716;1.4543E-04;5.3017E+01;-8.9426E+00;0.0000E+00;0.0000E+00;0.0000E+00;4.2390E+01;2.8921E+01
715;1.2604E-04;7.6152E+01;-1.0731E+01;0.0000E+00;0.0000E+00;0.0000E+00;2.6818E+01;1.2533E+01
714;5.8200E-05;1.0025E+02;-4.2700E-13;0.0000E+00;0.0000E+00;0.0000E+00;3.5469E+01;7.7123E+00
713;2.1330E-04;1.3013E+02;-4.2700E-13;0.0000E+00;0.0000E+00;0.0000E+00;4.1525E+01;6.8212E-13
712;2.3269E-04;1.6965E+02;1.0731E+01;0.0000E+00;0.0000E+00;0.0000E+00;5.8826E+01;1.0604E+01
711;3.4904E-04;2.0725E+02;5.3656E+00;0.0000E+00;0.0000E+00;0.0000E+00;8.5644E+01;3.9526E+01
710;1.7452E-04;2.3713E+02;-1.7885E+00;0.0000E+00;0.0000E+00;0.0000E+00;1.0814E+02;4.6274E+01
709;3.3935E-04;2.9015E+02;2.3251E+01;0.0000E+00;0.0000E+00;0.0000E+00;1.2198E+02;4.6274E+01
708;5.5265E-04;3.4220E+02;1.2520E+01;0.0000E+00;0.0000E+00;0.0000E+00;1.1765E+02;3.3741E+01
707;6.3021E-04;4.1450E+02;1.7885E+01;0.0000E+00;0.0000E+00;0.0000E+00;1.5053E+02;4.8202E+01
706;5.1387E-04;4.9933E+02;1.9674E+01;0.0000E+00;0.0000E+00;0.0000E+00;1.8773E+02;7.1339E+01
705;5.2356E-04;6.0632E+02;3.3982E+01;0.0000E+00;0.0000E+00;0.0000E+00;2.2406E+02;8.3871E+01
704;6.7869E-04;7.0850E+02;4.8290E+01;0.0000E+00;0.0000E+00;0.0000E+00;2.1627E+02;5.1094E+01
703;8.0473E-04;8.1936E+02;6.7964E+01;0.0000E+00;0.0000E+00;0.0000E+00;2.9154E+02;8.8692E+01
702;7.8534E-04;9.4563E+02;1.0016E+02;0.0000E+00;0.0000E+00;0.0000E+00;3.1576E+02;9.6404E+01
701;9.3077E-04;1.0661E+03;1.2162E+02;0.0000E+00;0.0000E+00;0.0000E+00;3.8237E+02;1.0219E+02
700;1.1926E-03;1.1779E+03;1.4666E+02;0.0000E+00;0.0000E+00;0.0000E+00;4.1784E+02;1.0604E+02
699;1.3089E-03;1.2840E+03;1.6633E+02;0.0000E+00;0.0000E+00;0.0000E+00;4.5071E+02;1.0315E+02
698;1.3865E-03;1.4025E+03;1.8779E+02;0.0000E+00;0.0000E+00;0.0000E+00;5.2252E+02;1.3111E+02
697;1.5707E-03;1.5500E+03;2.1820E+02;0.0000E+00;0.0000E+00;0.0000E+00;6.2114E+02;1.3207E+02
696;1.5804E-03;1.7216E+03;2.5576E+02;0.0000E+00;0.0000E+00;0.0000E+00;7.1197E+02;1.6292E+02
695;1.5319E-03;1.9424E+03;2.8974E+02;0.0000E+00;0.0000E+00;0.0000E+00;8.2357E+02;1.8317E+02
694;1.4349E-03;2.2017E+03;3.2193E+02;0.0000E+00;0.0000E+00;0.0000E+00;9.3344E+02;1.7642E+02
693;1.2410E-03;2.5034E+03;3.7022E+02;0.0000E+00;0.0000E+00;0.0000E+00;1.1116E+03;1.9281E+02
692;1.0762E-03;2.8330E+03;4.2030E+02;0.0000E+00;0.0000E+00;0.0000E+00;1.3115E+03;2.2848E+02
691;8.0473E-04;3.2398E+03;4.5786E+02;0.0000E+00;0.0000E+00;0.0000E+00;1.5338E+03;2.5451E+02
690;6.3021E-04;3.7440E+03;5.0079E+02;0.0000E+00;0.0000E+00;0.0000E+00;1.8124E+03;2.5354E+02
689;3.4904E-04;4.3956E+03;5.4192E+02;0.0000E+00;0.0000E+00;0.0000E+00;2.1627E+03;2.7957E+02
688;9.7000E-06;5.2121E+03;5.8485E+02;0.0000E+00;0.0000E+00;0.0000E+00;2.6005E+03;3.1717E+02
687;-9.7000E-05;6.2464E+03;6.3314E+02;0.0000E+00;0.0000E+00;0.0000E+00;3.1524E+03;3.6055E+02
686;-6.7900E-05;7.5468E+03;6.9216E+02;0.0000E+00;0.0000E+00;0.0000E+00;3.8099E+03;3.6055E+02
685;1.5513E-04;9.1845E+03;7.5833E+02;0.0000E+00;0.0000E+00;0.0000E+00;4.6499E+03;3.8658E+02
684;3.2965E-04;1.1222E+04;8.4955E+02;0.0000E+00;0.0000E+00;0.0000E+00;5.7572E+03;4.3478E+02
683;6.8839E-04;1.3711E+04;9.4970E+02;0.0000E+00;0.0000E+00;0.0000E+00;7.1215E+03;4.5985E+02
682;1.0956E-03;1.6694E+04;1.0749E+03;0.0000E+00;0.0000E+00;0.0000E+00;8.8482E+03;5.1094E+02
681;1.2119E-03;2.0208E+04;1.2251E+03;0.0000E+00;0.0000E+00;0.0000E+00;1.1021E+04;5.7553E+02
680;2.1233E-03;2.4230E+04;1.4004E+03;0.0000E+00;0.0000E+00;0.0000E+00;1.3761E+04;6.1506E+02
679;3.8976E-03;2.8718E+04;1.6204E+03;0.0000E+00;0.0000E+00;0.0000E+00;1.7170E+04;6.9122E+02
678;4.2370E-03;3.3543E+04;1.8887E+03;0.0000E+00;0.0000E+00;0.0000E+00;2.1207E+04;7.9919E+02
677;4.6733E-03;3.8539E+04;2.2231E+03;0.0000E+00;0.0000E+00;0.0000E+00;2.5965E+04;9.2644E+02
676;5.1774E-03;4.3472E+04;2.6345E+03;0.0000E+00;0.0000E+00;0.0000E+00;3.1353E+04;1.0238E+03
675;5.5653E-03;4.8088E+04;3.1299E+03;0.0000E+00;0.0000E+00;0.0000E+00;3.7432E+04;1.1713E+03
674;5.9628E-03;5.2193E+04;3.7022E+03;0.0000E+00;0.0000E+00;0.0000E+00;4.4139E+04;1.3738E+03
