#Wavelength (nm); Absorbance (a.u.)
720;0.00000
719;0.00075
718;0.00030
717;0.00010
716;0.00040
715;0.00041
714;0.00111
713;0.00098
712;0.00148
711;0.00219
710;0.00254
709;0.00259
708;0.00257
707;0.00302
706;0.00290
705;0.00317
704;0.00375
703;0.00360
702;0.00414
701;0.00449
700;0.00505
699;0.00576
698;0.00638
697;0.00714
696;0.00850
695;0.00915
694;0.00985
693;0.01122
692;0.01296
691;0.01476
690;0.01781
689;0.02081
688;0.02296
687;0.02684
686;0.03144
685;0.03800
684;0.04582
683;0.05532
682;0.06648
681;0.07905
680;0.09342
679;0.10867
678;0.12533
677;0.14320
676;0.16220
675;0.17931
674;0.19475
673;0.20748
672;0.21717
671;0.22309
670;0.22492
669;0.22423
668;0.22033
667;0.21303
666;0.20244
665;0.19074
664;0.17735
663;0.16370
662;0.15018
661;0.13727
660;0.12450
659;0.11293
658;0.10345
657;0.09395
656;0.08552
655;0.07821
654;0.07204
653;0.06666
652;0.06215
651;0.05851
650;0.05518
649;0.05258
648;0.05111
647;0.04897
646;0.04617
645;0.04440
644;0.04508
643;0.04431
642;0.04349
641;0.04317
640;0.04258
639;0.04109
638;0.04024
637;0.04017
636;0.04043
635;0.04100
634;0.04208
633;0.04233
632;0.04227
631;0.04183
630;0.04278
629;0.04423
628;0.04596
627;0.04668
626;0.04720
625;0.04834
624;0.04968
623;0.05085
622;0.05179
621;0.05334
620;0.05481
619;0.05582
618;0.05671
617;0.05769
616;0.05857
615;0.05953
614;0.05995
613;0.05996
612;0.06068
611;0.06094
610;0.06053
609;0.06043
608;0.06023
607;0.05943
606;0.05828
605;0.05689
604;0.05550
603;0.05430
602;0.05263
601;0.05092
600;0.05015
599;0.04907
598;0.04889
597;0.04780
596;0.04691
595;0.04707
594;0.04642
593;0.04550
592;0.04480
591;0.04578
590;0.04686
589;0.04693
588;0.04714
587;0.04697
586;0.04670
585;0.04752
584;0.04870
583;0.04877
582;0.04914
581;0.04952
580;0.05041
579;0.05096
578;0.05187
577;0.05257
576;0.05274
575;0.05381
574;0.05481
573;0.05528
572;0.05619
571;0.05655
570;0.05720
569;0.05775
568;0.05789
567;0.05895
566;0.05964
565;0.06002
564;0.06089
563;0.06105
562;0.06185
561;0.06281
560;0.06296
559;0.06292
558;0.06305
557;0.06373
556;0.06314
555;0.06339
554;0.06360
553;0.06471
552;0.06566
551;0.06584
550;0.06620
549;0.06728
548;0.06932
547;0.07140
546;0.07447
545;0.07718
544;0.08023
543;0.08398
542;0.08752
541;0.09105
540;0.09501
539;0.09907
538;0.10311
537;0.10532
536;0.10620
535;0.10633
534;0.10599
533;0.10566
532;0.10497
531;0.10404
530;0.10437
529;0.10638
528;0.10836
527;0.11068
526;0.11360
525;0.11777
524;0.12254
523;0.12724
522;0.13322
521;0.14005
520;0.14932
519;0.15770
518;0.16629
517;0.17699
516;0.18932
515;0.20245
514;0.21744
513;0.23362
512;0.25099
511;0.26832
510;0.28623
509;0.30475
508;0.32466
507;0.34527
506;0.36600
505;0.38773
504;0.41151
503;0.43706
502;0.46335
501;0.48885
500;0.51508
499;0.54198
498;0.56968
497;0.59840
496;0.62614
495;0.65460
494;0.68304
493;0.71109
492;0.73922
491;0.76719
490;0.79429
489;0.82069
488;0.84615
487;0.87042
486;0.89139
485;0.90859
484;0.92221
483;0.93173
482;0.93771
481;0.93961
480;0.93837
479;0.93335
478;0.92527
477;0.91567
476;0.90491
475;0.89547
474;0.88837
473;0.88375
472;0.88154
471;0.88384
470;0.88927
469;0.89746
468;0.91067
467;0.92787
466;0.94700
465;0.96941
464;0.99261
463;1.01580
462;1.04017
461;1.06353
460;1.08392
459;1.10144
458;1.11630
457;1.12809
456;1.13407
455;1.13718
454;1.13751
453;1.13356
452;1.12574
451;1.11610
450;1.10433
449;1.09054
448;1.07601
447;1.06215
446;1.04817
445;1.03509
444;1.02304
443;1.01257
442;1.00499
441;1.00083
440;0.99962
439;1.00142
438;1.00550
437;1.01238
436;1.02030
435;1.03035
434;1.04114
433;1.05152
432;1.06303
431;1.07422
430;1.08487
429;1.09451
428;1.10285
427;1.11054
426;1.11702
425;1.12175
424;1.12444
423;1.12615
422;1.12745
421;1.12874
420;1.13154
419;1.13175
418;1.12945
417;1.12663
416;1.12315
415;1.11782
414;1.10894
413;1.09807
412;1.08746
411;1.07485
410;1.06202
409;1.04969
408;1.03701
407;1.02505
406;1.01418
405;1.00378
404;0.99247
403;0.98148
402;0.97006
401;0.95758
400;0.94340
399;0.92837
398;0.91305
397;0.89843
396;0.88443
395;0.87010
394;0.85683
393;0.84297
392;0.83057
391;0.81991
390;0.81048
