#Wavelength (nm); Absorbance (a.u.)
720;0
719;-0.001475
718;-5.00E-05
717;0.000475
716;0.002225
715;0.002625
714;0.0026
713;0.00385
712;0.00365
711;0.005375
710;0.004825
709;0.0069
708;0.007025
707;0.00695
706;0.007925
705;0.010425
704;0.010125
703;0.0105
702;0.011325
701;0.012625
700;0.01365
699;0.01485
698;0.016575
697;0.017125
696;0.01815
695;0.018325
694;0.0205
693;0.019225
692;0.02085
691;0.0212
690;0.0214
689;0.021025
688;0.021225
687;0.022075
686;0.0218
685;0.021625
684;0.022825
683;0.022625
682;0.0234
681;0.023475
680;0.02315
679;0.027225
678;0.0287
677;0.030125
676;0.030775
675;0.031775
674;0.032325
673;0.033275
672;0.03295
671;0.03485
670;0.035225
669;0.03665
668;0.0379
667;0.038
666;0.0387
665;0.038875
664;0.040575
663;0.041275
662;0.0417
661;0.041825
660;0.043225
659;0.044175
658;0.046075
657;0.046675
656;0.0462
655;0.046775
654;0.048275
653;0.049825
652;0.050275
651;0.050825
650;0.051875
649;0.052675
648;0.053275
647;0.0543
646;0.0563
645;0.056675
644;0.057525
643;0.058175
642;0.059525
641;0.059525
640;0.06145
639;0.061625
638;0.06375
637;0.06445
636;0.065925
635;0.066125
634;0.06795
633;0.06785
632;0.068875
631;0.0696
630;0.0704
629;0.071725
628;0.0732
627;0.075175
626;0.075075
625;0.0759
624;0.07705
623;0.078525
622;0.07885
621;0.0811
620;0.08135
619;0.082475
618;0.084025
617;0.0852
616;0.086
615;0.08795
614;0.0883
613;0.0898
612;0.09055
611;0.09225
610;0.093525
609;0.0945
608;0.096325
607;0.09745
606;0.098575
605;0.09975
604;0.1003
603;0.102225
602;0.103425
601;0.10465
600;0.104775
599;0.10675
598;0.108125
597;0.1101
596;0.110825
595;0.113025
594;0.11375
593;0.1153
592;0.11785
591;0.117925
590;0.1205
589;0.120675
588;0.123225
587;0.1249
586;0.12695
585;0.1279
584;0.1295
583;0.131375
582;0.13285
581;0.134625
580;0.135275
579;0.13715
578;0.13945
577;0.140125
576;0.142025
575;0.14385
574;0.145675
573;0.146875
572;0.14925
571;0.150175
570;0.152375
569;0.154775
568;0.156425
567;0.157875
566;0.1601
565;0.1624
564;0.1649
563;0.1666
562;0.1684
561;0.170175
560;0.17235
559;0.175075
558;0.17605
557;0.17895
556;0.18095
555;0.182875
554;0.18635
553;0.18885
552;0.1904
551;0.192925
550;0.195175
549;0.19955
548;0.201775
547;0.20455
546;0.206625
545;0.20915
544;0.2135
543;0.21615
542;0.219225
541;0.222425
540;0.2259
539;0.229475
538;0.232225
537;0.23645
536;0.239275
535;0.2432
534;0.2477
533;0.2527
532;0.25545
531;0.260775
530;0.2657
529;0.26895
528;0.275375
527;0.28135
526;0.287625
525;0.2942
524;0.300425
523;0.306675
522;0.315625
521;0.323175
520;0.330125
519;0.342475
518;0.3518
517;0.363775
516;0.375575
515;0.3884
514;0.40185
513;0.415925
512;0.432575
511;0.447475
510;0.466075
509;0.483625
508;0.504675
507;0.5247
506;0.547225
505;0.570125
504;0.592875
503;0.617825
502;0.6421
501;0.66815
500;0.694675
499;0.721275
498;0.74705
497;0.7736
496;0.800825
495;0.825925
494;0.8511
493;0.87575
492;0.898325
491;0.9212
490;0.94285
489;0.961375
488;0.98015
487;0.9972
486;1.013775
485;1.0281
484;1.0416
483;1.054775
482;1.06535
481;1.0792
480;1.0895
479;1.10115
478;1.112775
477;1.125175
476;1.14015
475;1.155125
474;1.17195
473;1.19135
472;1.21325
471;1.236525
470;1.262475
469;1.290675
468;1.3204
467;1.35145
466;1.3844
465;1.415125
464;1.44685
463;1.479575
462;1.507175
461;1.5348
460;1.559225
459;1.579525
458;1.597125
457;1.610625
456;1.621525
455;1.628575
454;1.6327
453;1.635675
452;1.63755
451;1.63765
450;1.63825
449;1.639175
448;1.642375
447;1.6451
446;1.6524
445;1.660425
444;1.672925
443;1.68725
442;1.70335
441;1.7229
440;1.74555
439;1.768075
438;1.791675
437;1.8158
436;1.840625
435;1.861475
434;1.879775
433;1.8963
432;1.9112
431;1.92005
430;1.9263
429;1.932025
428;1.931925
427;1.93265
426;1.93105
425;1.92665
424;1.921375
423;1.91865
422;1.9146
421;1.9153
420;1.91685
419;1.923325
418;1.933775
417;1.94355
416;1.95965
415;1.979775
414;2.002975
413;2.03325
412;2.065025
411;2.100475
410;2.13995
409;2.181275
408;2.223075
407;2.26695
406;2.3095
405;2.347
404;2.376675
403;2.3983
402;2.41395
401;2.417725
400;2.41725
399;2.408875
398;2.397125
397;2.38735
396;2.3794
395;2.373375
394;2.3778
393;2.3894
392;2.406025
391;2.43495
390;2.47175
