#Wavelength (nm); Absorbance (a.u.)
720;0
719;0
718;0
717;0
716;0.00042
715;0.00096
714;0.00146
713;0.002
712;0.00242
711;0.00284
710;0.00286
709;0.00328
708;0.004
707;0.0047
706;0.00542
705;0.00628
704;0.00646
703;0.00734
702;0.00864
701;0.00988
700;0.01126
699;0.01214
698;0.01386
697;0.0159
696;0.01814
695;0.02036
694;0.02382
693;0.02748
692;0.03256
691;0.03872
690;0.04568
689;0.05534
688;0.06688
687;0.0818
686;0.10016
685;0.1232
684;0.15166
683;0.18654
682;0.2278
681;0.27692
680;0.3331
679;0.3967
678;0.46336
677;0.5339
676;0.60272
675;0.66808
674;0.72498
673;0.77042
672;0.8027
671;0.81976
670;0.82146
669;0.80812
668;0.7809
667;0.74306
666;0.69632
665;0.64426
664;0.59018
663;0.53738
662;0.48664
661;0.43942
660;0.39624
659;0.35624
658;0.32116
657;0.2888
656;0.2601
655;0.23454
654;0.21132
653;0.19076
652;0.1734
651;0.15772
650;0.14426
649;0.13268
648;0.12318
647;0.11508
646;0.10876
645;0.10366
644;0.09986
643;0.0964
642;0.09428
641;0.09206
640;0.08996
639;0.0882
638;0.08644
637;0.0852
636;0.0833
635;0.08214
634;0.08154
633;0.081
632;0.08062
631;0.0815
630;0.08228
629;0.0837
628;0.08564
627;0.08808
626;0.09092
625;0.09454
624;0.09802
623;0.10198
622;0.10686
621;0.11104
620;0.11556
619;0.12092
618;0.1251
617;0.12922
616;0.13312
615;0.13648
614;0.13896
613;0.14078
612;0.14152
611;0.14202
610;0.14152
609;0.14018
608;0.13746
607;0.13412
606;0.12914
605;0.1244
604;0.11828
603;0.11194
602;0.10552
601;0.0993
600;0.09336
599;0.08814
598;0.08344
597;0.07906
596;0.07542
595;0.07184
594;0.06966
593;0.06756
592;0.06566
591;0.06402
590;0.06256
589;0.06206
588;0.0617
587;0.0613
586;0.06114
585;0.06142
584;0.06168
583;0.06186
582;0.06252
581;0.06314
580;0.06422
579;0.0647
578;0.0665
577;0.06742
576;0.06932
575;0.07098
574;0.07256
573;0.07428
572;0.07646
571;0.07888
570;0.0813
569;0.08358
568;0.08592
567;0.08822
566;0.09044
565;0.09226
564;0.09402
563;0.09512
562;0.09634
561;0.09698
560;0.09706
559;0.0971
558;0.09716
557;0.09668
556;0.0966
555;0.09662
554;0.09652
553;0.09662
552;0.09704
551;0.09794
550;0.0994
549;0.10266
548;0.10636
547;0.11096
546;0.11782
545;0.12648
544;0.13732
543;0.14978
542;0.16416
541;0.17946
540;0.19528
539;0.21018
538;0.22216
537;0.23088
536;0.2348
535;0.23404
534;0.23064
533;0.22486
532;0.21808
531;0.21216
530;0.20808
529;0.20584
528;0.2057
527;0.20828
526;0.21318
525;0.22062
524;0.2304
523;0.24202
522;0.25654
521;0.2733
520;0.29116
519;0.3152
518;0.34008
517;0.36922
516;0.40164
515;0.43814
514;0.47826
513;0.52128
512;0.56648
511;0.6142
510;0.66274
509;0.71176
508;0.76162
507;0.81304
506;0.86566
505;0.9211
504;0.97926
503;1.03988
502;1.10258
501;1.16766
500;1.23452
499;1.30224
498;1.36974
497;1.43674
496;1.50242
495;1.56666
494;1.62868
493;1.69006
492;1.74926
491;1.80654
490;1.86114
489;1.91234
488;1.95938
487;2.00112
486;2.03726
485;2.0674
484;2.09088
483;2.10764
482;2.11626
481;2.11908
480;2.11622
479;2.10746
478;2.09492
477;2.08094
476;2.06642
475;2.054
474;2.04622
473;2.04316
472;2.04684
471;2.05852
470;2.0779
469;2.10536
468;2.14044
467;2.18238
466;2.23016
465;2.28164
464;2.33594
463;2.39058
462;2.444
461;2.49542
460;2.54238
459;2.58312
458;2.61642
457;2.64236
456;2.6597
455;2.66828
454;2.66848
453;2.66058
452;2.64596
451;2.62486
450;2.59934
449;2.5708
448;2.5395
447;2.50882
446;2.48014
445;2.45534
444;2.43548
443;2.42252
442;2.41586
441;2.41644
440;2.42302
439;2.4352
438;2.45034
437;2.46908
436;2.49032
435;2.51444
434;2.54244
433;2.57448
432;2.61032
431;2.65062
430;2.69554
429;2.74476
428;2.79582
427;2.84746
426;2.89952
425;2.95028
424;2.99914
423;3.04546
422;3.08968
421;3.13208
420;3.17044
419;3.21076
418;3.2403
417;3.2632
416;3.2772
415;3.28066
414;3.27088
413;3.2502
412;3.22052
411;3.18178
410;3.1391
409;3.09378
408;3.04808
407;3.00402
406;2.96162
405;2.92268
404;2.88558
403;2.84878
402;2.8114
401;2.77266
400;2.73178
399;2.68886
398;2.6427
397;2.59436
396;2.5455
395;2.4961
394;2.44642
393;2.3978
392;2.35104
391;2.30754
390;2.26686
