#Wavelength (nm); Absorbance (a.u.)
720;0
719;-0.0039
718;-0.001
717;-0.00025
716;0.0018
715;0.0023
714;0.00195
713;0.0028
712;0.00235
711;0.0045
710;0.0041
709;0.00805
708;0.007
707;0.0068
706;0.00795
705;0.01235
704;0.01095
703;0.01135
702;0.0135
701;0.0149
700;0.0158
699;0.0174
698;0.01995
697;0.0203
696;0.02215
695;0.02075
694;0.02405
693;0.0205
692;0.0221
691;0.0212
690;0.02155
689;0.01945
688;0.0199
687;0.0215
686;0.0213
685;0.0207
684;0.0249
683;0.02575
682;0.0292
681;0.03105
680;0.03275
679;0.0456
678;0.0502
677;0.05555
676;0.0599
675;0.0642
674;0.0677
673;0.07135
672;0.0717
671;0.0752
670;0.0756
669;0.0777
668;0.0776
667;0.0762
666;0.07345
665;0.07145
664;0.07155
663;0.06905
662;0.0669
661;0.065
660;0.0647
659;0.0634
658;0.06465
657;0.06205
656;0.0595
655;0.05785
654;0.05745
653;0.05775
652;0.05735
651;0.0555
650;0.05485
649;0.0542
648;0.05425
647;0.05315
646;0.0561
645;0.0549
644;0.0544
643;0.05395
642;0.05555
641;0.05265
640;0.05625
639;0.0545
638;0.0572
637;0.05765
636;0.059
635;0.05835
634;0.06005
633;0.05865
632;0.05965
631;0.05865
630;0.0595
629;0.06135
628;0.06225
627;0.06455
626;0.06275
625;0.06445
624;0.0652
623;0.06695
622;0.0661
621;0.06905
620;0.06895
619;0.07015
618;0.07125
617;0.07195
616;0.0725
615;0.07525
614;0.07445
613;0.0761
612;0.0765
611;0.0774
610;0.0779
609;0.0785
608;0.08055
607;0.0812
606;0.08135
605;0.0813
604;0.08165
603;0.083
602;0.0836
601;0.08385
600;0.0828
599;0.08385
598;0.0844
597;0.08615
596;0.0861
595;0.08805
594;0.0877
593;0.08835
592;0.0909
591;0.08905
590;0.09195
589;0.09015
588;0.0933
587;0.0934
586;0.0961
585;0.09535
584;0.09645
583;0.09785
582;0.099
581;0.0994
580;0.09955
579;0.10105
578;0.1038
577;0.103
576;0.1037
575;0.1057
574;0.1078
573;0.10835
572;0.1098
571;0.11065
570;0.1128
569;0.11435
568;0.11565
567;0.11535
566;0.11755
565;0.1195
564;0.12195
563;0.1227
562;0.1237
561;0.1245
560;0.12625
559;0.12885
558;0.1282
557;0.1305
556;0.13165
555;0.13225
554;0.13685
553;0.13805
552;0.13875
551;0.14065
550;0.14145
549;0.14705
548;0.149
547;0.15165
546;0.153
545;0.1553
544;0.16065
543;0.163
542;0.16585
541;0.16935
540;0.17345
539;0.1779
538;0.18005
537;0.18395
536;0.18645
535;0.1899
534;0.1941
533;0.19935
532;0.2001
531;0.2068
530;0.21095
529;0.213
528;0.22075
527;0.2274
526;0.23525
525;0.2432
524;0.25075
523;0.2593
522;0.27185
521;0.2828
520;0.2946
519;0.31635
518;0.33245
517;0.3539
516;0.3782
515;0.4056
514;0.4363
513;0.4703
512;0.51315
511;0.55785
510;0.611
509;0.66875
508;0.73755
507;0.8111
506;0.8958
505;0.98875
504;1.09015
503;1.202
502;1.32095
501;1.4501
500;1.5876
499;1.7321
498;1.88
497;2.03535
496;2.1929
495;2.3478
494;2.5011
493;2.65265
492;2.79405
491;2.9276
490;3.05005
489;3.15405
488;3.24315
487;3.31
486;3.3617
485;3.38965
484;3.39835
483;3.38595
482;3.35485
481;3.3165
480;3.2577
479;3.19275
478;3.12645
477;3.06085
476;3.00155
475;2.9489
474;2.912
473;2.8897
472;2.8841
471;2.897
470;2.9308
469;2.9816
468;3.04885
467;3.1296
466;3.22395
465;3.3233
464;3.43055
463;3.5426
462;3.6454
461;3.7475
460;3.8406
459;3.91765
458;3.98575
457;4.0337
456;4.06675
455;4.08135
454;4.07345
453;4.05055
452;4.0114
451;3.95665
450;3.8894
449;3.81395
448;3.73225
447;3.6463
446;3.56165
445;3.48015
444;3.4054
443;3.3392
442;3.28375
441;3.24125
440;3.213
439;3.19515
438;3.18955
437;3.19325
436;3.20925
435;3.22375
434;3.24305
433;3.2636
432;3.28285
431;3.2942
430;3.2991
429;3.2967
428;3.2803
427;3.25785
426;3.2249
425;3.17755
424;3.12225
423;3.06755
422;3.0003
421;2.9338
420;2.88425
419;2.8024
418;2.7428
417;2.68245
416;2.62645
415;2.58175
414;2.5382
413;2.50785
412;2.4808
411;2.4588
410;2.44275
409;2.4271
408;2.41565
407;2.4053
406;2.3974
405;2.38345
404;2.3637
403;2.33935
402;2.31155
401;2.27375
400;2.23805
399;2.1936
398;2.14235
397;2.0975
396;2.05125
395;2.00185
394;1.96325
393;1.925
392;1.892
391;1.8681
390;1.84975
